TRAJECTORY,,,,,, 
current portfolio balance,"$3,823,105",non real estate assets,,,,
start wealth,"$6,058,686",real estate + portfolio,,,,
total cap spend,"$134,581",over lifetime,,,,
end wealth,"$13,940,478",in future dollars including LTC refund,,,,
end wealth,"$5,591,066",in past dollars (reverse inflation),,,,
GENERAL,,,,,,
general inflation,2.50%,totally a guess - 3% is recommended,,,,
car cost inputs,"$60,000",10,YR LIFETIME,,,
real estate appreciation,5.00%,case-schiller=4.8%,,,,
social security COLA,2.50%,mostly follows inflation,,,,
Taxes,,,,,,
,FED,STATE,TOTAL,,,
social security tax rate,16.0%,0.0%,16.0%,WA state no SS tax,,
 draw tax rate,16.0%,0.0%,16.0%,WA state no income tax,,
investment ROI,7.50%,threebell - net net after 1% load,,,,
Health care,,,,,,
healthcare inflation,6.00%,inflation of health costs,,,,
health care scenario,45%,"0% is best case, 100% is worst case",,,,
      allowance (each),,,,,,
allowance deflation,1.00%,"with increasing age, less allowance needs",,,,
per month (ea),"$3,000",this is ALL personal expenses,,,,
per year (ea),"$36,000",,,,,
TIMELINE EVENTS,,,,,,
,YEAR,erik age,deb age,in yrs,for yrs,
sell orcas,2036,80,75,10,,
sell pdx,2040,84,79,14,,
buy mezz,2027,71,66,1,,
sell mezz,2035,79,74,9,,
long time care start,2040,84,79,14,15,
end of game,2055,99,94,29,,
LONG TIME CARE,,,,,,
current entrance fee,"$2,000,000","$3,426,791",,future entrance fee,,
refundable,100%,"$3,426,791",,returned entrance fee,,
current monthly fee,"$19,500","$3,426,791",,future monthly fee,,
,,,,,,
                         NOTES,,,,,,
,state taxes not tracked correctly for CA and OR,,,,,
,allow knob for SS start time,,,,,